id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13209712,The Red Private Suite + Den and Bathroom Montford,73994689,Lydia And Victor,,28801,35.60582,-82.57046,Private room,55,1,176,2018-12-29,5.31,2,141
13216889,"Beautiful Quiet Home,  Close to Parkway or Town",8552617,Shannon,,28804,35.64234,-82.53083,Private room,52,1,59,2018-12-30,1.81,1,89
13224612,In the Heart of West Asheville,59215839,Julie,,28806,35.5784,-82.60467,Private room,80,2,17,2019-01-21,0.52,2,84
13225039,2 BR Home Walking Distance to Biltmore Village,74219755,Jake,,28803,35.56679,-82.5288,Entire home/apt,125,2,23,2017-02-20,0.71,1,0
13231021,Easy Access to Downtown Asheville! Hike From House,14764795,Linda,,28803,35.55739,-82.49141,Entire home/apt,145,3,33,2019-02-03,1.11,1,263
13251709,The Sage Private Suite+Den and Bathroom Montford,73994689,Lydia And Victor,,28801,35.6042,-82.56954,Private room,55,1,167,2019-01-27,5.04,2,163
13258472,5* STEAMPUNK SUITE@UTOPIA ~ HOT-TUB ~ UBER <$10,1994122,Marc & Fay,,28805,35.6114,-82.52366,Entire home/apt,59,1,203,2019-02-13,6.35,9,172
13260302,Tree House Studio,16927392,Liv,,28803,35.52754,-82.48171,Entire home/apt,75,2,133,2019-02-10,4.12,1,2
13274313,"Spacious Apt w/Deck, Quiet, Private, Walk Downtown",16465325,Matt & Lulu,,28801,35.59735,-82.56676,Entire home/apt,145,2,105,2019-01-21,3.68,1,161
13279595,Zen Mountain Treehouse I (Lower Level Suite),74862179,Rebecca,,28803,35.55772,-82.478,Private room,85,1,111,2019-01-21,3.37,2,88
13308291,Beautiful Home - 5 minutes from Downtown,39722886,Anis,,28806,35.60996,-82.5807,Entire home/apt,150,3,60,2018-09-07,1.85,1,46
13312601,Simple but Sweet Cottage House,75238397,Becky,,28704,35.45647,-82.54344,Entire home/apt,155,2,70,2018-12-29,2.29,2,148
13326253,Modern  Loft  in the center of West Asheville,1872084,Linda And Rafael,,28806,35.5816,-82.59863,Entire home/apt,79,2,92,2019-01-30,2.88,2,81
